Rank,Category,Mentions,Sources,Confidence,Top Keywords,Date
1,Skincare,89,11,very_high,"korean skincare / K-beauty, serum, sunscreen / SPF, collagen mask, retinol",2026-03-25
2,Makeup,72,10,very_high,"lip oil / lip tint, foundation, magnetic lashes, mascara, press-on nails",2026-03-25
3,Health & Wellness,58,9,high,"liquid multivitamin, hair growth supplement, greens powder, probiotic, collagen powder",2026-03-25
4,Tech & Gadgets,53,9,high,"LED galaxy projector, smart posture corrector, UV-C phone sanitizer, wireless earbuds, magnetic phone charger",2026-03-25
5,Fashion Accessories,48,8,high,"crossbody / sling bag, minimalist jewelry, claw clip / hair clip, retro sunglasses, layered necklace",2026-03-25
6,Home & Organization,44,8,high,"cleaning products (#CleanTok), candles / diffuser, organizer / storage, kitchen gadgets, posters / wall art",2026-03-25
7,Fragrance,39,7,high,"perfume dupe, body mist, scent layering, cologne, luxury fragrance dupe",2026-03-25
8,Hair Care,35,7,medium_high,"hair oil, hair growth serum, hair mask, silk bonnet, scalp treatment",2026-03-25
9,Pet Products,28,6,medium,"interactive pet toy, pet accessories, dog treat, pet grooming, cat tree / scratcher",2026-03-25
10,Body Care,24,6,medium,"body scrub, body butter / lotion, self tanner, body oil, deodorant",2026-03-25
