Product,Category,Price,TikTok Sales,Why Viral,Date
Beauty of Joseon Glow Serum,Skincare,$17,"8,500+","Affordable K-beauty, targets hydration and uneven tone, dewy finish on camera",2026-03-25
Beauty of Joseon Rice Sunscreen SPF 50+,Skincare,$16,"10,000+","No white cast, dewy finish, rice water + prebiotic complex",2026-03-25
Medicube Collagen Night Wrapping Mask,Skincare,$28,"15,000+","Overnight transformation visible on camera, collagen-rich veil",2026-03-25
Medicube Pink Peptide PDRN Serum,Skincare,$32,"5,000+","PDRN is 2026's 'it' ingredient, accessible price point",2026-03-25
Paula's Choice 2% BHA Liquid Exfoliant,Skincare,$35,"20,000+","Pore-minimizing, consistent sell-out, dermatologist-backed",2026-03-25
Rhode Caffeine Reset Eye Cream,Skincare,$29,Sold out at launch,"Hailey Bieber brand, instant tightening effect visible on camera",2026-03-25
Magnetic Eyelash Dual-Pack System,Makeup,$32.99,"50,000+","78% reuse rate, hypoallergenic, easy before/after content",2026-03-25
M.ph Foundation (Mary Phillips),Makeup,$48,Sold out 3x,"Celebrity makeup artist brand, silk-like application, wide shade range",2026-03-25
$5 Viral Lip Oils,Makeup,$5,"200,000+","Impulse price, glossy finish, shade comparison videos drive sales",2026-03-25
MaryRuth's Liquid Multivitamin + Hair Growth,Health & Wellness,$29.95,"500,000+","Morning routine staple, liquid form easy to demo, hair growth claims",2026-03-25
Smart Posture Corrector (Bluetooth),Tech & Gadgets,$39.99,217% YoY growth,"Viral 'desk reset' challenge, ultra-thin design, vibration alert",2026-03-25
LED Galaxy Projector,Tech & Gadgets,$15,"10,000+ in 2 weeks","Stunning on camera, bedroom glow-up content, under $20",2026-03-25
UV-C Phone Sanitizer 3-in-1,Tech & Gadgets,$44.99,$4.2M monthly gross sales,"Morning routine + gym bag content, sanitize + charge + stand",2026-03-25
Press-On Nails Kits,Makeup,$8-$15,"100,000+","Salon-quality at home, under $15, easy application videos",2026-03-25
